Name,Description,Block
CATS2D_08_DL,CATS2D Donor-Lipophilic at lag 08,CATS 2D
CATS2D_09_DL,CATS2D Donor-Lipophilic at lag 09,CATS 2D
CATS2D_00_AA,CATS2D Acceptor-Acceptor at lag 00,CATS 2D
CATS2D_01_AA,CATS2D Acceptor-Acceptor at lag 01,CATS 2D
CATS2D_02_AA,CATS2D Acceptor-Acceptor at lag 02,CATS 2D
CATS2D_03_AA,CATS2D Acceptor-Acceptor at lag 03,CATS 2D
CATS2D_04_AA,CATS2D Acceptor-Acceptor at lag 04,CATS 2D
CATS2D_05_AA,CATS2D Acceptor-Acceptor at lag 05,CATS 2D
CATS2D_06_AA,CATS2D Acceptor-Acceptor at lag 06,CATS 2D
CATS2D_07_AA,CATS2D Acceptor-Acceptor at lag 07,CATS 2D
CATS2D_08_AA,CATS2D Acceptor-Acceptor at lag 08,CATS 2D
CATS2D_09_AA,CATS2D Acceptor-Acceptor at lag 09,CATS 2D
CATS2D_00_AP,CATS2D Acceptor-Positive at lag 00,CATS 2D
CATS2D_01_AP,CATS2D Acceptor-Positive at lag 01,CATS 2D
CATS2D_02_AP,CATS2D Acceptor-Positive at lag 02,CATS 2D
CATS2D_03_AP,CATS2D Acceptor-Positive at lag 03,CATS 2D
CATS2D_04_AP,CATS2D Acceptor-Positive at lag 04,CATS 2D
CATS2D_05_AP,CATS2D Acceptor-Positive at lag 05,CATS 2D
CATS2D_06_AP,CATS2D Acceptor-Positive at lag 06,CATS 2D
CATS2D_07_AP,CATS2D Acceptor-Positive at lag 07,CATS 2D
CATS2D_08_AP,CATS2D Acceptor-Positive at lag 08,CATS 2D
CATS2D_09_AP,CATS2D Acceptor-Positive at lag 09,CATS 2D
CATS2D_00_AN,CATS2D Acceptor-Negative at lag 00,CATS 2D
CATS2D_01_AN,CATS2D Acceptor-Negative at lag 01,CATS 2D
CATS2D_02_AN,CATS2D Acceptor-Negative at lag 02,CATS 2D
CATS2D_03_AN,CATS2D Acceptor-Negative at lag 03,CATS 2D
CATS2D_04_AN,CATS2D Acceptor-Negative at lag 04,CATS 2D
CATS2D_05_AN,CATS2D Acceptor-Negative at lag 05,CATS 2D
CATS2D_06_AN,CATS2D Acceptor-Negative at lag 06,CATS 2D
CATS2D_07_AN,CATS2D Acceptor-Negative at lag 07,CATS 2D
CATS2D_08_AN,CATS2D Acceptor-Negative at lag 08,CATS 2D
CATS2D_09_AN,CATS2D Acceptor-Negative at lag 09,CATS 2D
CATS2D_00_AL,CATS2D Acceptor-Lipophilic at lag 00,CATS 2D
CATS2D_01_AL,CATS2D Acceptor-Lipophilic at lag 01,CATS 2D
CATS2D_02_AL,CATS2D Acceptor-Lipophilic at lag 02,CATS 2D
CATS2D_03_AL,CATS2D Acceptor-Lipophilic at lag 03,CATS 2D
CATS2D_04_AL,CATS2D Acceptor-Lipophilic at lag 04,CATS 2D
CATS2D_05_AL,CATS2D Acceptor-Lipophilic at lag 05,CATS 2D
CATS2D_06_AL,CATS2D Acceptor-Lipophilic at lag 06,CATS 2D
CATS2D_07_AL,CATS2D Acceptor-Lipophilic at lag 07,CATS 2D
CATS2D_08_AL,CATS2D Acceptor-Lipophilic at lag 08,CATS 2D
CATS2D_09_AL,CATS2D Acceptor-Lipophilic at lag 09,CATS 2D
CATS2D_00_PP,CATS2D Positive-Positive at lag 00,CATS 2D
CATS2D_01_PP,CATS2D Positive-Positive at lag 01,CATS 2D
CATS2D_02_PP,CATS2D Positive-Positive at lag 02,CATS 2D
CATS2D_03_PP,CATS2D Positive-Positive at lag 03,CATS 2D
CATS2D_04_PP,CATS2D Positive-Positive at lag 04,CATS 2D
CATS2D_05_PP,CATS2D Positive-Positive at lag 05,CATS 2D
CATS2D_06_PP,CATS2D Positive-Positive at lag 06,CATS 2D
CATS2D_07_PP,CATS2D Positive-Positive at lag 07,CATS 2D
CATS2D_08_PP,CATS2D Positive-Positive at lag 08,CATS 2D
CATS2D_09_PP,CATS2D Positive-Positive at lag 09,CATS 2D
CATS2D_00_PN,CATS2D Positive-Negative at lag 00,CATS 2D
CATS2D_01_PN,CATS2D Positive-Negative at lag 01,CATS 2D
CATS2D_02_PN,CATS2D Positive-Negative at lag 02,CATS 2D
CATS2D_03_PN,CATS2D Positive-Negative at lag 03,CATS 2D
CATS2D_04_PN,CATS2D Positive-Negative at lag 04,CATS 2D
CATS2D_05_PN,CATS2D Positive-Negative at lag 05,CATS 2D
CATS2D_06_PN,CATS2D Positive-Negative at lag 06,CATS 2D
CATS2D_07_PN,CATS2D Positive-Negative at lag 07,CATS 2D
CATS2D_08_PN,CATS2D Positive-Negative at lag 08,CATS 2D
CATS2D_09_PN,CATS2D Positive-Negative at lag 09,CATS 2D
CATS2D_00_PL,CATS2D Positive-Lipophilic at lag 00,CATS 2D
CATS2D_01_PL,CATS2D Positive-Lipophilic at lag 01,CATS 2D
CATS2D_02_PL,CATS2D Positive-Lipophilic at lag 02,CATS 2D
CATS2D_03_PL,CATS2D Positive-Lipophilic at lag 03,CATS 2D
CATS2D_04_PL,CATS2D Positive-Lipophilic at lag 04,CATS 2D
CATS2D_05_PL,CATS2D Positive-Lipophilic at lag 05,CATS 2D
CATS2D_06_PL,CATS2D Positive-Lipophilic at lag 06,CATS 2D
CATS2D_07_PL,CATS2D Positive-Lipophilic at lag 07,CATS 2D
CATS2D_08_PL,CATS2D Positive-Lipophilic at lag 08,CATS 2D
CATS2D_09_PL,CATS2D Positive-Lipophilic at lag 09,CATS 2D
CATS2D_00_NN,CATS2D Negative-Negative at lag 00,CATS 2D
CATS2D_01_NN,CATS2D Negative-Negative at lag 01,CATS 2D
CATS2D_02_NN,CATS2D Negative-Negative at lag 02,CATS 2D
CATS2D_03_NN,CATS2D Negative-Negative at lag 03,CATS 2D
CATS2D_04_NN,CATS2D Negative-Negative at lag 04,CATS 2D
CATS2D_05_NN,CATS2D Negative-Negative at lag 05,CATS 2D
CATS2D_06_NN,CATS2D Negative-Negative at lag 06,CATS 2D
CATS2D_07_NN,CATS2D Negative-Negative at lag 07,CATS 2D
CATS2D_08_NN,CATS2D Negative-Negative at lag 08,CATS 2D
CATS2D_09_NN,CATS2D Negative-Negative at lag 09,CATS 2D
CATS2D_00_NL,CATS2D Negative-Lipophilic at lag 00,CATS 2D
CATS2D_01_NL,CATS2D Negative-Lipophilic at lag 01,CATS 2D
CATS2D_02_NL,CATS2D Negative-Lipophilic at lag 02,CATS 2D
CATS2D_03_NL,CATS2D Negative-Lipophilic at lag 03,CATS 2D
CATS2D_04_NL,CATS2D Negative-Lipophilic at lag 04,CATS 2D
CATS2D_05_NL,CATS2D Negative-Lipophilic at lag 05,CATS 2D
CATS2D_06_NL,CATS2D Negative-Lipophilic at lag 06,CATS 2D
CATS2D_07_NL,CATS2D Negative-Lipophilic at lag 07,CATS 2D
CATS2D_08_NL,CATS2D Negative-Lipophilic at lag 08,CATS 2D
CATS2D_09_NL,CATS2D Negative-Lipophilic at lag 09,CATS 2D
CATS2D_00_LL,CATS2D Lipophilic-Lipophilic at lag 00,CATS 2D
CATS2D_01_LL,CATS2D Lipophilic-Lipophilic at lag 01,CATS 2D
CATS2D_02_LL,CATS2D Lipophilic-Lipophilic at lag 02,CATS 2D
CATS2D_03_LL,CATS2D Lipophilic-Lipophilic at lag 03,CATS 2D
CATS2D_04_LL,CATS2D Lipophilic-Lipophilic at lag 04,CATS 2D
CATS2D_05_LL,CATS2D Lipophilic-Lipophilic at lag 05,CATS 2D
CATS2D_06_LL,CATS2D Lipophilic-Lipophilic at lag 06,CATS 2D
CATS2D_07_LL,CATS2D Lipophilic-Lipophilic at lag 07,CATS 2D
CATS2D_08_LL,CATS2D Lipophilic-Lipophilic at lag 08,CATS 2D
CATS2D_09_LL,CATS2D Lipophilic-Lipophilic at lag 09,CATS 2D
T(N..N),sum of topological distances between N..N,2D Atom Pairs
T(N..O),sum of topological distances between N..O,2D Atom Pairs
T(N..S),sum of topological distances between N..S,2D Atom Pairs
T(N..P),sum of topological distances between N..P,2D Atom Pairs
T(N..F),sum of topological distances between N..F,2D Atom Pairs
T(N..Cl),sum of topological distances between N..Cl,2D Atom Pairs
T(N..Br),sum of topological distances between N..Br,2D Atom Pairs
T(N..I),sum of topological distances between N..I,2D Atom Pairs
T(O..O),sum of topological distances between O..O,2D Atom Pairs
T(O..S),sum of topological distances between O..S,2D Atom Pairs
T(O..P),sum of topological distances between O..P,2D Atom Pairs
T(O..F),sum of topological distances between O..F,2D Atom Pairs
T(O..Cl),sum of topological distances between O..Cl,2D Atom Pairs
T(O..Br),sum of topological distances between O..Br,2D Atom Pairs
T(O..I),sum of topological distances between O..I,2D Atom Pairs
T(S..S),sum of topological distances between S..S,2D Atom Pairs
T(S..P),sum of topological distances between S..P,2D Atom Pairs
T(S..F),sum of topological distances between S..F,2D Atom Pairs
T(S..Cl),sum of topological distances between S..Cl,2D Atom Pairs
T(S..Br),sum of topological distances between S..Br,2D Atom Pairs
T(S..I),sum of topological distances between S..I,2D Atom Pairs
T(P..P),sum of topological distances between P..P,2D Atom Pairs
T(P..F),sum of topological distances between P..F,2D Atom Pairs
T(P..Cl),sum of topological distances between P..Cl,2D Atom Pairs
T(P..Br),sum of topological distances between P..Br,2D Atom Pairs
T(P..I),sum of topological distances between P..I,2D Atom Pairs
T(F..F),sum of topological distances between F..F,2D Atom Pairs
T(F..Cl),sum of topological distances between F..Cl,2D Atom Pairs
T(F..Br),sum of topological distances between F..Br,2D Atom Pairs
T(F..I),sum of topological distances between F..I,2D Atom Pairs
T(Cl..Cl),sum of topological distances between Cl..Cl,2D Atom Pairs
T(Cl..Br),sum of topological distances between Cl..Br,2D Atom Pairs
T(Cl..I),sum of topological distances between Cl..I,2D Atom Pairs
T(Br..Br),sum of topological distances between Br..Br,2D Atom Pairs
T(Br..I),sum of topological distances between Br..I,2D Atom Pairs
T(I..I),sum of topological distances between I..I,2D Atom Pairs
B01[C-C],Presence/absence of C - C at topological distance 1,2D Atom Pairs
B01[C-N],Presence/absence of C - N at topological distance 1,2D Atom Pairs
B01[C-O],Presence/absence of C - O at topological distance 1,2D Atom Pairs
B01[C-S],Presence/absence of C - S at topological distance 1,2D Atom Pairs
B01[C-P],Presence/absence of C - P at topological distance 1,2D Atom Pairs
B01[C-F],Presence/absence of C - F at topological distance 1,2D Atom Pairs
B01[C-Cl],Presence/absence of C - Cl at topological distance 1,2D Atom Pairs
B01[C-Br],Presence/absence of C - Br at topological distance 1,2D Atom Pairs
B01[C-I],Presence/absence of C - I at topological distance 1,2D Atom Pairs
B01[C-B],Presence/absence of C - B at topological distance 1,2D Atom Pairs
B01[C-Si],Presence/absence of C - Si at topological distance 1,2D Atom Pairs
B01[C-X],Presence/absence of C - X at topological distance 1,2D Atom Pairs
B01[N-N],Presence/absence of N - N at topological distance 1,2D Atom Pairs
B01[N-O],Presence/absence of N - O at topological distance 1,2D Atom Pairs
B01[N-S],Presence/absence of N - S at topological distance 1,2D Atom Pairs
B01[N-P],Presence/absence of N - P at topological distance 1,2D Atom Pairs
B01[N-F],Presence/absence of N - F at topological distance 1,2D Atom Pairs
B01[N-Cl],Presence/absence of N - Cl at topological distance 1,2D Atom Pairs
B01[N-Br],Presence/absence of N - Br at topological distance 1,2D Atom Pairs
B01[N-I],Presence/absence of N - I at topological distance 1,2D Atom Pairs
B01[N-B],Presence/absence of N - B at topological distance 1,2D Atom Pairs
B01[N-Si],Presence/absence of N - Si at topological distance 1,2D Atom Pairs
B01[N-X],Presence/absence of N - X at topological distance 1,2D Atom Pairs
B01[O-O],Presence/absence of O - O at topological distance 1,2D Atom Pairs
B01[O-S],Presence/absence of O - S at topological distance 1,2D Atom Pairs
B01[O-P],Presence/absence of O - P at topological distance 1,2D Atom Pairs
B01[O-F],Presence/absence of O - F at topological distance 1,2D Atom Pairs
B01[O-Cl],Presence/absence of O - Cl at topological distance 1,2D Atom Pairs
B01[O-Br],Presence/absence of O - Br at topological distance 1,2D Atom Pairs
B01[O-I],Presence/absence of O - I at topological distance 1,2D Atom Pairs
B01[O-B],Presence/absence of O - B at topological distance 1,2D Atom Pairs
B01[O-Si],Presence/absence of O - Si at topological distance 1,2D Atom Pairs
B01[O-X],Presence/absence of O - X at topological distance 1,2D Atom Pairs
B01[S-S],Presence/absence of S - S at topological distance 1,2D Atom Pairs
B01[S-P],Presence/absence of S - P at topological distance 1,2D Atom Pairs
B01[S-F],Presence/absence of S - F at topological distance 1,2D Atom Pairs
B01[S-Cl],Presence/absence of S - Cl at topological distance 1,2D Atom Pairs
B01[S-Br],Presence/absence of S - Br at topological distance 1,2D Atom Pairs
B01[S-I],Presence/absence of S - I at topological distance 1,2D Atom Pairs
B01[S-B],Presence/absence of S - B at topological distance 1,2D Atom Pairs
B01[S-Si],Presence/absence of S - Si at topological distance 1,2D Atom Pairs
B01[S-X],Presence/absence of S - X at topological distance 1,2D Atom Pairs
B01[P-P],Presence/absence of P - P at topological distance 1,2D Atom Pairs
B01[P-F],Presence/absence of P - F at topological distance 1,2D Atom Pairs
B01[P-Cl],Presence/absence of P - Cl at topological distance 1,2D Atom Pairs
B01[P-Br],Presence/absence of P - Br at topological distance 1,2D Atom Pairs
B01[P-I],Presence/absence of P - I at topological distance 1,2D Atom Pairs
B01[P-B],Presence/absence of P - B at topological distance 1,2D Atom Pairs
B01[P-Si],Presence/absence of P - Si at topological distance 1,2D Atom Pairs
B01[P-X],Presence/absence of P - X at topological distance 1,2D Atom Pairs
B01[F-F],Presence/absence of F - F at topological distance 1,2D Atom Pairs
B01[F-Cl],Presence/absence of F - Cl at topological distance 1,2D Atom Pairs
B01[F-Br],Presence/absence of F - Br at topological distance 1,2D Atom Pairs
B01[F-I],Presence/absence of F - I at topological distance 1,2D Atom Pairs
B01[F-B],Presence/absence of F - B at topological distance 1,2D Atom Pairs
B01[F-Si],Presence/absence of F - Si at topological distance 1,2D Atom Pairs
B01[F-X],Presence/absence of F - X at topological distance 1,2D Atom Pairs
B01[Cl-Cl],Presence/absence of Cl - Cl at topological distance 1,2D Atom Pairs
B01[Cl-Br],Presence/absence of Cl - Br at topological distance 1,2D Atom Pairs
B01[Cl-I],Presence/absence of Cl - I at topological distance 1,2D Atom Pairs
B01[Cl-B],Presence/absence of Cl - B at topological distance 1,2D Atom Pairs
B01[Cl-Si],Presence/absence of Cl - Si at topological distance 1,2D Atom Pairs
B01[Cl-X],Presence/absence of Cl - X at topological distance 1,2D Atom Pairs
B01[Br-Br],Presence/absence of Br - Br at topological distance 1,2D Atom Pairs
B01[Br-I],Presence/absence of Br - I at topological distance 1,2D Atom Pairs
B01[Br-B],Presence/absence of Br - B at topological distance 1,2D Atom Pairs
B01[Br-Si],Presence/absence of Br - Si at topological distance 1,2D Atom Pairs
B01[Br-X],Presence/absence of Br - X at topological distance 1,2D Atom Pairs
B01[I-I],Presence/absence of I - I at topological distance 1,2D Atom Pairs
B01[I-B],Presence/absence of I - B at topological distance 1,2D Atom Pairs
B01[I-Si],Presence/absence of I - Si at topological distance 1,2D Atom Pairs
B01[I-X],Presence/absence of I - X at topological distance 1,2D Atom Pairs
B01[B-B],Presence/absence of B - B at topological distance 1,2D Atom Pairs
B01[B-Si],Presence/absence of B - Si at topological distance 1,2D Atom Pairs
B01[B-X],Presence/absence of B - X at topological distance 1,2D Atom Pairs
B01[Si-Si],Presence/absence of Si - Si at topological distance 1,2D Atom Pairs
B01[Si-X],Presence/absence of Si - X at topological distance 1,2D Atom Pairs
B01[X-X],Presence/absence of X - X at topological distance 1,2D Atom Pairs
B02[C-C],Presence/absence of C - C at topological distance 2,2D Atom Pairs
B02[C-N],Presence/absence of C - N at topological distance 2,2D Atom Pairs
B02[C-O],Presence/absence of C - O at topological distance 2,2D Atom Pairs
B02[C-S],Presence/absence of C - S at topological distance 2,2D Atom Pairs
B02[C-P],Presence/absence of C - P at topological distance 2,2D Atom Pairs
B02[C-F],Presence/absence of C - F at topological distance 2,2D Atom Pairs
B02[C-Cl],Presence/absence of C - Cl at topological distance 2,2D Atom Pairs
B02[C-Br],Presence/absence of C - Br at topological distance 2,2D Atom Pairs
B02[C-I],Presence/absence of C - I at topological distance 2,2D Atom Pairs
B02[C-B],Presence/absence of C - B at topological distance 2,2D Atom Pairs
B02[C-Si],Presence/absence of C - Si at topological distance 2,2D Atom Pairs
B02[C-X],Presence/absence of C - X at topological distance 2,2D Atom Pairs
B02[N-N],Presence/absence of N - N at topological distance 2,2D Atom Pairs
B02[N-O],Presence/absence of N - O at topological distance 2,2D Atom Pairs
B02[N-S],Presence/absence of N - S at topological distance 2,2D Atom Pairs
B02[N-P],Presence/absence of N - P at topological distance 2,2D Atom Pairs
B02[N-F],Presence/absence of N - F at topological distance 2,2D Atom Pairs
B02[N-Cl],Presence/absence of N - Cl at topological distance 2,2D Atom Pairs
B02[N-Br],Presence/absence of N - Br at topological distance 2,2D Atom Pairs
B02[N-I],Presence/absence of N - I at topological distance 2,2D Atom Pairs
B02[N-B],Presence/absence of N - B at topological distance 2,2D Atom Pairs
B02[N-Si],Presence/absence of N - Si at topological distance 2,2D Atom Pairs
B02[N-X],Presence/absence of N - X at topological distance 2,2D Atom Pairs
B02[O-O],Presence/absence of O - O at topological distance 2,2D Atom Pairs
B02[O-S],Presence/absence of O - S at topological distance 2,2D Atom Pairs
B02[O-P],Presence/absence of O - P at topological distance 2,2D Atom Pairs
B02[O-F],Presence/absence of O - F at topological distance 2,2D Atom Pairs
B02[O-Cl],Presence/absence of O - Cl at topological distance 2,2D Atom Pairs
B02[O-Br],Presence/absence of O - Br at topological distance 2,2D Atom Pairs
B02[O-I],Presence/absence of O - I at topological distance 2,2D Atom Pairs
B02[O-B],Presence/absence of O - B at topological distance 2,2D Atom Pairs
B02[O-Si],Presence/absence of O - Si at topological distance 2,2D Atom Pairs
B02[O-X],Presence/absence of O - X at topological distance 2,2D Atom Pairs
B02[S-S],Presence/absence of S - S at topological distance 2,2D Atom Pairs
B02[S-P],Presence/absence of S - P at topological distance 2,2D Atom Pairs
B02[S-F],Presence/absence of S - F at topological distance 2,2D Atom Pairs
B02[S-Cl],Presence/absence of S - Cl at topological distance 2,2D Atom Pairs
B02[S-Br],Presence/absence of S - Br at topological distance 2,2D Atom Pairs
B02[S-I],Presence/absence of S - I at topological distance 2,2D Atom Pairs
B02[S-B],Presence/absence of S - B at topological distance 2,2D Atom Pairs
B02[S-Si],Presence/absence of S - Si at topological distance 2,2D Atom Pairs
